MASTER_ID,NAME,LOC,STATUS,BILL_ACC_CNT,SERV_ACC_CNT,ACTV_ASSET_CNT,ORDER_CNT,TOT_NEW_SALE,TOT_UPGRADE,TOT_DGRADE,TOT_CHURN_AMT,Revenue(ZAR)
1-10HY3QK,MYCARE,JOHANNESBURG,Active,1,0,0,0,0,0,0,0,R0.00
1-10K64YM,INTEGRITY ENGINEERING,PRETORIA,Active,1,0,2,0,0,0,0,0,R3 002.54
1-10P0N2R,ELLIES,JOHANNESBURG,Inactive,1,0,0,2,0,0,0,0,R202.33
1-115HN3K,INTEL SOUTH AFRICA CORPORATION,ENGLAND,Active,1,0,13,3,1991522,0,0,0,R80 050.79
1-116HJDD,DIMENSION DATA (PTY) LTD - OLD MUTUAL,OLD MUTUAL,Active,1,0,1323,158,5671660,0,0,-2138880,R1 968 322.41
1-118K8E0,EPHARM (PTY) LTD,JEFFREYS BAY,Active,1,0,2,0,0,0,0,0,R3 080.00
1-11FTJBH,RAVINDRA RAMOUTHAR,NOORDHEUWEL,Active,1,0,1,0,0,0,0,0,R70.00
1-11KGN2R,CLOUD TO MACHINE (PTY) LTD,THREE RIVERS,Active,1,0,0,2,0,0,0,0,R8 045.39
1-11SISEC,LANDELAHNI MANAGEMENT SERVICES PTY. LTD,MELROSE ESTATE,Active,1,0,9,6,0,0,0,0,R12 040.32
1-127ZQ2E,SIZWE MEDICAL FUND,JHB,Active,1,0,8,3,40320,0,0,0,R6 161.91
1-12ECVWV,I ATTOOH (PTY) LTD,FAERIE GLEN,Active,1,0,9,0,0,0,0,0,R4 469.00
1-12F7UN0,GOOGLE GLOBAL SERVICES NIGERIA LIMITED,LAGOS - NIGERIA,Active,1,1,3,0,0,0,0,0,R80 041.82
1-12FVE9Q,UNIBYTE DATA SYSTEMS,FAIRMOUNT,Active,1,1,3,0,0,0,0,0,R435.00
1-12FZTMW,DIGITAL OUTSOURCE SERVICES (PTY) LTD,HEAD OFFICE - CPT,Active,2,3,77,2,520182,0,0,0,R134 099.00
1-12G3VVI,GOOSEBUMPS DISTRIBUTION( PTY )LTD,CAPE TOWN,Active,1,22,213,26,602765.18,0,0,0,R95 413.13
1-12JDXBS,ISLAND VIEW STORAGE (PTY) LTD,DURBAN,Active,1,9,205,47,290474.32,164988,0,0,R138 645.17
1-12K2N44,TRANSTECH AFRICA GLOBAL TELECOMS (PTY) LTD,MIDRAND,Active,1,31,370,68,0,0,0,0,R51 063.21
1-12K49F6,CHEIL SOUTH AFRICA,BRYANSTON,Active,1,0,1,0,0,0,0,0,R0.00
1-12K49QX,MATLAPA CONSTRUCTION CONSULTING (PTY) LTD,JUSKEI PARK,Active,1,0,0,4,0,0,0,0,R383.80
1-12K8DX3,SUGARBERRY TRADING 455 - FEGO CAFFÉ MORNINGSIDE,MORNINGSIDE,Active,1,0,0,2,0,0,0,0,R0.00
1-12L8KOS,ATTACHMATE GROUP SOUTH AFRICA (PTY) LTD,SOUTH AFRICA,Active,1,0,0,2,0,0,0,-40800,-R1 133.33
1-12L9B4W,FYMT COMMUNICATIONS (PTY) LTD-T/A VODACOM RONDEBOSCH,RONDEBOSCH,Active,1,0,3,0,0,0,0,0,R0.00
1-12LMAT2,IMPENDLE LOCAL  MUNICIPALITY,IMPENDLE,Active,1,1,1,0,104790,0,0,0,R4 363.00
1-12LRMK4,COMPACT COMPUTER SOLUTIONS (PTY) LTD,HEAD OFFICE,Active,1,0,20,0,0,0,0,0,R10 490.86
1-12MZCN1,QORUS SOFTWARE ( PTY) LTD,CAPE TOWN,Active,1,0,38,5,0,0,0,0,R21 523.08
1-12N1OUI,DURADO ONDERNEMINGS -DURADO SPUR,VRYBURG,Active,1,0,2,0,0,0,0,0,R0.00
1-12ONMYQ,9TH BIT CONSULTING (PTY) LTD,MIDRAND,Active,1,0,32,0,0,0,0,0,R1 371.04
1-12QK4DQ,HIGHWAY PROPERTY GROUP (PTY) LTD,HARRISMITH,Active,1,0,3,3,0,0,0,0,R3 175.20
1-12UERVW,LEGAL AID SOUTH AFRICA,JOHANNESBURG,Active,1,139,1852,152,1088132,119808,0,0,R1 328 978.25
1-12UFLPS,SONIC WIRELESS SOLUTIONS,CAPE TOWN,Active,1,0,6,2,0,0,0,0,R5 284.51
1-12UKPDJ,MASTERFLEET CC - WIMPY SECUNDA,SECUNDA,Active,1,0,2,2,0,0,0,0,R400.00
1-12WIE0A,CARL ZEISS VISION SOUTH AFRICA,CAPE TOWN,Active,1,0,12,0,0,0,0,0,R30 282.92
1-12XVXFM,DYMACRAFT (PTY) LTD - WIMPY GREENSTONE,EDENVALE,Active,1,0,2,0,0,0,0,0,R66.67
1-12Y6ARB,MANNY GARRUN AND SONS (PTY) LTD,HOUGHTON,Active,1,0,7,10,0,0,0,-402525.24,-R12 437.54
1-130TYTK,BELA GAMES BELSKYE TRAVEL,DANVILLE,Active,1,0,2,0,0,0,0,0,R356.72
1-130TYWU,DRS MASHAO AND DZICHAUYA RADIOLOGY INC,SOWETO,Active,1,1,6,0,0,0,0,0,R4 021.03
1-131FU30,ARCH UNDERWRITING MANAGERS AT LLOYDS (SOUTH AFRICA) (PTY) LTD,BRYANSTON,Active,1,0,4,0,0,0,0,0,R8 396.58
1-131PDAY,BUTTONWOOD TRADING 23 CC- COCO BISTRO,ERASMUSKLOOF,Active,1,0,2,0,0,0,0,0,R250.00
1-132TW8M,NORTHSTAR ASSET MANAGEMENT (PTY)LTD,BISHOPSCOURT,Active,1,0,7,0,0,0,0,0,R1 969.00
1-132ZZAF,TAROCUBE (PTY) LTD,NEW GERMANY,Active,1,0,3,0,0,0,0,0,R1 969.00
1-1333AAN,BLU'S BROTHERS (PTY) LTD,SPARTAN,Active,1,0,2,0,0,0,0,0,R54.88
1-134G080,EXCELL INFRASTRUCTURES (PTY) LTD,DORINGKLOOF,Active,1,0,0,0,0,0,0,0,R50.00
1-136MAG6,IT'S A GO COMMUNICATIONS CC,BRYANSTON,Active,1,0,4,0,0,0,0,0,R768.32
1-136N281,BOSCH MANAGEMENT SERVICES (PTY) LTD,DURBAN,Active,1,1,37,0,280500,0,0,0,R11 220.28
1-136ZC78,FOURIES POULTRY FARM T/A CHUBB CHICKS,POTCHEFSTROOM,Active,1,0,4,3,0,0,0,0,R4 247.17
1-137QT9M,COCA-COLA AFRICA (PTY) LTD,HEAD OFFICE,Active,1,2,53,14,0,32721.8,0,-96228,R129 648.46
1-137QY1F,AEONOVA 360 MANAGEMENT SERVICES (PTY) LTD,JOHANNESBURG,Active,1,1,4,0,0,0,0,0,R6 059.96
1-137TZEO,JCE INDUSTRIES (PTY) LTD,PINETOWN,Active,1,4,0,3,0,0,0,-67788.72,R357.12
1-137UARD,PERSEUS TELECOM,NEW YORK,Active,1,2,2,0,0,0,0,0,R299 068.89
1-138597Y,MOTORNOSTIX,CAPE TOWN,Active,1,1,2,0,0,0,0,0,R15 158.86
1-1387YC2,IDWALA INDUSTRIAL HOLDINGS LTD,JOHANNESBURG,Active,4,10,360,52,718444.04,5984,0,-30083.4,R206 701.20
1-1388I3Y,NEUSTAR,USA,Active,1,0,15,0,0,0,0,0,R61 282.02
1-138FPOJ,LEHARI INVESTMENTS,JHB,Active,1,0,1,0,0,0,0,0,R83.89
1-138RE10,PAUL DE SMIDT,DOUGLASDALE,Active,1,0,1,0,0,0,0,0,R75.00
1-13A9IOC,JICAMA 311 (PTY) LTD,CAPE TOWN,Active,1,6,36,19,0,0,0,-317171.16,R38 577.97
