MASTER_ID,STATUS,BILL_ACC_CNT,SERV_ACC_CNT,ACTV_ASSET_CNT,ORDER_CNT,TOT_NEW_SALE,TOT_UPGRADE,TOT_DGRADE,TOT_CHURN_AMT,REVENUE
1-10HY3QK,Active,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1-10K64YM,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,3002.54
1-10P0N2R,Inactive,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,202.33
1-115HN3K,Active,1.00,0.00,13.00,3.00,1991522.00,0.00,0.00,0.00,80050.79
1-116HJDD,Active,1.00,0.00,1323.00,158.00,5671660.00,0.00,0.00,-2138880.00,1968322.41
1-118K8E0,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,3080.00
1-11FTJBH,Active,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,70.00
1-11KGN2R,Active,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,8045.39
1-11SISEC,Active,1.00,0.00,9.00,6.00,0.00,0.00,0.00,0.00,12040.32
1-127ZQ2E,Active,1.00,0.00,8.00,3.00,40320.00,0.00,0.00,0.00,6161.91
1-12ECVWV,Active,1.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,4469.00
1-12F7UN0,Active,1.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,80041.82
1-12FVE9Q,Active,1.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,435.00
1-12FZTMW,Active,2.00,3.00,77.00,2.00,520182.00,0.00,0.00,0.00,134099.00
1-12G3VVI,Active,1.00,22.00,213.00,26.00,602765.18,0.00,0.00,0.00,95413.13
1-12JDXBS,Active,1.00,9.00,205.00,47.00,290474.32,164988.00,0.00,0.00,138645.17
1-12K2N44,Active,1.00,31.00,370.00,68.00,0.00,0.00,0.00,0.00,51063.21
1-12K49F6,Active,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1-12K49QX,Active,1.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,383.80
1-12K8DX3,Active,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
